epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8254,1.34397,1.33532,1.18124,0.97499,0.924,0.94829,0.58216,1.29088,1.40057,1.16103,0.000648649,0.000648649,0.000648649
2,43.9932,1.33215,0.86869,1.20697,0.83052,0.60133,0.67415,0.36765,1.70108,2.42859,1.65154,0.00130229,0.00130229,0.00130229
3,77.9398,1.40726,0.95603,1.24441,0.83676,0.77467,0.83219,0.44498,1.70386,5.23843,1.71736,0.00194274,0.00194274,0.00194274
4,102.28,1.36692,0.86926,1.21021,0.8203,0.82533,0.85995,0.5098,1.65981,5.20239,1.52617,0.0019406,0.0019406,0.0019406
5,124.174,1.39437,0.86926,1.26033,0.02975,0.79867,0.02676,0.01651,1.65467,77.5848,1.64283,0.0019208,0.0019208,0.0019208
6,145.653,1.29982,0.80421,1.19067,0.80753,0.8615,0.80766,0.46302,1.40575,2.0917,1.30106,0.001901,0.001901,0.001901
7,167.246,1.30008,0.76572,1.18144,0.95673,0.924,0.93738,0.58396,1.24469,1.07856,1.19962,0.0018812,0.0018812,0.0018812
8,193.343,1.28014,0.73141,1.17812,0.90641,0.87333,0.9045,0.5584,1.37834,1.30863,1.24493,0.0018614,0.0018614,0.0018614
9,214.787,1.25195,0.72863,1.15746,0.92117,0.93483,0.93516,0.59232,1.2722,0.78556,1.21448,0.0018416,0.0018416,0.0018416
10,236.045,1.214,0.70254,1.15494,0.95199,0.9253,0.94938,0.61583,1.23678,0.86282,1.15888,0.0018218,0.0018218,0.0018218
11,257.363,1.22262,0.6983,1.15392,0.94539,0.94267,0.96278,0.61381,1.26714,0.76382,1.16288,0.001802,0.001802,0.001802
12,278.84,1.18725,0.68606,1.13605,0.95469,0.92713,0.95108,0.60804,1.23116,0.84153,1.17157,0.0017822,0.0017822,0.0017822
13,300.178,1.14778,0.64819,1.11828,0.97367,0.93673,0.95496,0.64423,1.18224,0.6807,1.1495,0.0017624,0.0017624,0.0017624
14,321.661,1.23414,0.66557,1.13692,0.9737,0.94267,0.96556,0.65582,1.22134,0.70745,1.13643,0.0017426,0.0017426,0.0017426
15,343.162,1.12463,0.60799,1.1251,0.98079,0.95286,0.97434,0.61968,1.24107,0.66994,1.1331,0.0017228,0.0017228,0.0017228
16,369.757,1.18946,0.62783,1.12752,0.96613,0.948,0.96141,0.64142,1.19022,0.63548,1.14436,0.001703,0.001703,0.001703
17,405.236,1.12503,0.60991,1.10701,0.96098,0.92667,0.95042,0.65337,1.16722,0.62684,1.11136,0.0016832,0.0016832,0.0016832
18,426.476,1.13816,0.6178,1.12646,0.97662,0.948,0.96078,0.66165,1.16287,0.62924,1.10069,0.0016634,0.0016634,0.0016634
19,447.898,1.08951,0.60035,1.08937,0.98054,0.95333,0.97067,0.65671,1.12661,0.5923,1.09915,0.0016436,0.0016436,0.0016436
20,469.441,1.10543,0.59774,1.09041,0.96865,0.94267,0.96344,0.66543,1.13097,0.58807,1.10278,0.0016238,0.0016238,0.0016238
21,490.838,1.13462,0.59271,1.11036,0.95475,0.932,0.95422,0.64004,1.24845,0.61546,1.16137,0.001604,0.001604,0.001604
