epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5967,1.47351,3.06971,1.38071,0.02183,0.89513,0.12315,0.07071,1.0744,3.40483,1.13232,0.0838,0.0018,0.0018
2,59.8189,1.18061,1.39251,1.12995,0.88907,0.79543,0.87264,0.55723,1.06287,2.86989,1.05845,0.0666634,0.00366337,0.00366337
3,84.8756,1.25762,1.07226,1.11944,0.99788,0.44143,0.9217,0.565,1.10568,2.62504,1.0508,0.0494891,0.00548912,0.00548912
4,109.185,1.21021,0.97447,1.1114,0.99418,0.64022,0.93621,0.6317,1.05422,2.14763,1.02414,0.0322773,0.00727725,0.00727725
5,133.062,1.25835,0.95774,1.12451,0.94988,0.69202,0.90784,0.61285,1.10519,1.87672,1.04358,0.0150278,0.00902776,0.00902776
6,165.668,1.25895,0.99748,1.13864,0.94663,0.89607,0.92519,0.51684,1.32526,1.44687,1.20357,0.009505,0.009505,0.009505
7,189.904,1.25022,0.92296,1.1289,0.94706,0.90445,0.93528,0.60433,1.17347,1.17343,1.12947,0.009406,0.009406,0.009406
8,209.56,1.19718,0.85856,1.1189,0.94959,0.91715,0.94253,0.61085,1.14106,1.11012,1.14649,0.009307,0.009307,0.009307
9,232.711,1.18186,0.87204,1.10861,0.96223,0.93258,0.9525,0.60993,1.22787,1.22572,1.21956,0.009208,0.009208,0.009208
10,251.898,1.20164,0.82673,1.12604,0.94559,0.91199,0.9272,0.54481,1.252,1.18034,1.18987,0.009109,0.009109,0.009109
11,274.193,1.22268,0.83417,1.1101,0.95568,0.92883,0.94956,0.58734,1.25865,1.15508,1.2416,0.00901,0.00901,0.00901
12,301.811,1.19022,0.80669,1.11401,0.94803,0.93539,0.94384,0.61409,1.22041,1.05925,1.21285,0.008911,0.008911,0.008911
13,329.788,1.18745,0.75459,1.11382,0.93801,0.92509,0.93621,0.59084,1.23504,1.10515,1.2003,0.008812,0.008812,0.008812
14,359.151,1.13664,0.73652,1.08455,0.93021,0.91105,0.92748,0.6029,1.21603,1.01293,1.21174,0.008713,0.008713,0.008713
15,380.762,1.1233,0.71462,1.09024,0.95995,0.93633,0.95917,0.63895,1.12168,0.82592,1.12649,0.008614,0.008614,0.008614
16,403.351,1.144,0.72324,1.08849,0.96487,0.93539,0.96294,0.6652,1.05349,0.78307,1.06118,0.008515,0.008515,0.008515
17,426.288,1.12172,0.68708,1.07651,0.90987,0.91105,0.93242,0.61004,1.11327,1.02017,1.10785,0.008416,0.008416,0.008416
18,454.276,1.12317,0.70993,1.06442,0.96275,0.92884,0.95951,0.62897,1.11495,0.75672,1.09567,0.008317,0.008317,0.008317
19,481.727,1.09733,0.67375,1.06375,0.9812,0.92871,0.96777,0.68532,1.05606,0.71822,1.06049,0.008218,0.008218,0.008218
20,505.411,1.06185,0.63727,1.04935,0.98107,0.94757,0.97169,0.6812,0.97954,0.64296,1.04114,0.008119,0.008119,0.008119
21,535.426,1.14185,0.65925,1.08514,0.97855,0.93959,0.96292,0.67251,0.95208,0.67764,1.02307,0.00802,0.00802,0.00802
22,562.295,1.08064,0.6318,1.05571,0.97225,0.94757,0.97281,0.66679,1.06056,0.78594,1.06023,0.007921,0.007921,0.007921
23,584.284,1.10362,0.63866,1.06266,0.96133,0.94757,0.97277,0.64095,1.21371,0.73373,1.12754,0.007822,0.007822,0.007822
24,609.09,1.09281,0.6326,1.06714,0.97571,0.95037,0.9737,0.68041,1.07793,0.68484,1.07206,0.007723,0.007723,0.007723
25,636.704,1.04654,0.61444,1.03449,0.96764,0.94007,0.97188,0.68515,0.96582,0.62731,1.04865,0.007624,0.007624,0.007624
26,666.212,1.03066,0.59442,1.04179,0.94963,0.9382,0.96538,0.65501,1.05391,0.67714,1.05846,0.007525,0.007525,0.007525
27,689.093,1.08096,0.61486,1.06804,0.97774,0.94757,0.96947,0.67335,1.03929,0.6239,1.06925,0.007426,0.007426,0.007426
28,710.624,1.05094,0.59782,1.0402,0.98137,0.93914,0.97521,0.67053,1.06193,0.61231,1.04928,0.007327,0.007327,0.007327
29,733.603,1.06714,0.61875,1.04257,0.97603,0.95037,0.97093,0.66471,1.05156,0.6211,1.06539,0.007228,0.007228,0.007228
30,757.161,1.02943,0.59354,1.04209,0.98048,0.95412,0.97894,0.69127,0.93867,0.59885,1.02137,0.007129,0.007129,0.007129
31,779.451,1.00824,0.5733,1.03276,0.98319,0.95412,0.98051,0.70059,1.02706,0.58547,1.05873,0.00703,0.00703,0.00703
32,810.255,1.03264,0.58592,1.05375,0.97716,0.95131,0.97848,0.69886,1.05381,0.61548,1.08393,0.006931,0.006931,0.006931
33,831.724,1.01812,0.56923,1.03831,0.97517,0.95225,0.97625,0.70763,0.93115,0.57809,1.00662,0.006832,0.006832,0.006832
34,852.978,1.01285,0.56139,1.03625,0.97541,0.94569,0.97231,0.69554,0.9583,0.55779,1.00518,0.006733,0.006733,0.006733
35,878.054,1.05485,0.57047,1.04582,0.98224,0.95131,0.97784,0.71448,0.95276,0.54636,1.02888,0.006634,0.006634,0.006634
36,903.032,0.98671,0.54526,1.02176,0.98158,0.94783,0.97797,0.71362,1.03143,0.58016,1.05671,0.006535,0.006535,0.006535
37,924.757,0.99072,0.55661,1.0198,0.97833,0.95131,0.97772,0.69965,0.98366,0.55114,1.03524,0.006436,0.006436,0.006436
38,946.037,0.98263,0.54773,1.02418,0.97685,0.95693,0.98004,0.69762,1.0175,0.55008,1.04003,0.006337,0.006337,0.006337
39,969.865,1.01138,0.55539,1.03327,0.97947,0.9485,0.98069,0.71042,0.93039,0.54406,1.00732,0.006238,0.006238,0.006238
40,991.302,1.01748,0.5517,1.0317,0.98175,0.96255,0.98273,0.72474,0.94603,0.54257,1.00344,0.006139,0.006139,0.006139
41,1014.06,0.9567,0.52648,1.01948,0.97786,0.95128,0.97905,0.70034,0.95389,0.57442,1.01786,0.00604,0.00604,0.00604
42,1043.85,0.97482,0.5344,0.99867,0.98088,0.96083,0.97925,0.70342,1.04011,0.54918,1.04303,0.005941,0.005941,0.005941
43,1082.98,0.95648,0.52411,1.01031,0.98159,0.96255,0.97707,0.71205,0.97795,0.53498,1.02334,0.005842,0.005842,0.005842
44,1105.47,0.94249,0.52219,1.01434,0.97245,0.94944,0.97008,0.68097,1.03707,0.53111,1.04553,0.005743,0.005743,0.005743
45,1133.77,0.95372,0.52052,1.02161,0.98352,0.96348,0.98262,0.72827,0.95973,0.51088,1.02326,0.005644,0.005644,0.005644
46,1156.17,0.96644,0.52427,1.017,0.98487,0.95131,0.98167,0.71929,0.97561,0.51274,1.01574,0.005545,0.005545,0.005545
47,1179.52,0.93117,0.51273,1.00306,0.98555,0.95813,0.9821,0.74241,0.93715,0.50139,0.99961,0.005446,0.005446,0.005446
48,1203.91,0.92577,0.51842,0.99489,0.98237,0.96255,0.98607,0.7237,0.93731,0.49005,1.00887,0.005347,0.005347,0.005347
49,1237.33,0.95264,0.51137,1.00553,0.98259,0.96536,0.9837,0.72716,0.95823,0.48552,1.0142,0.005248,0.005248,0.005248
50,1266.86,0.9305,0.50128,0.99459,0.97875,0.95506,0.98175,0.71934,1.00802,0.49072,1.03628,0.005149,0.005149,0.005149
51,1289.67,0.90576,0.49813,0.99421,0.97153,0.95852,0.98263,0.73388,0.9392,0.48976,1.00746,0.00505,0.00505,0.00505
52,1313.67,0.93631,0.50432,1.00157,0.9798,0.96536,0.9845,0.7405,0.87722,0.47877,0.97215,0.004951,0.004951,0.004951
53,1336.62,0.90028,0.48947,0.98451,0.97944,0.96629,0.98424,0.73017,0.9368,0.49975,1.00809,0.004852,0.004852,0.004852
54,1360.27,0.90696,0.49165,0.99667,0.97549,0.96906,0.98498,0.73954,0.92688,0.47323,0.9879,0.004753,0.004753,0.004753
55,1384.41,0.87074,0.48017,0.97984,0.98829,0.96255,0.99085,0.75401,0.90787,0.46349,0.98847,0.004654,0.004654,0.004654
56,1412.25,0.88647,0.47786,0.98758,0.98478,0.9691,0.98565,0.75732,0.88827,0.46399,0.97525,0.004555,0.004555,0.004555
57,1440.14,0.88655,0.47812,0.98209,0.99513,0.95567,0.98587,0.73006,0.93449,0.47448,0.99577,0.004456,0.004456,0.004456
58,1463.25,0.87729,0.47782,0.974,0.98328,0.95599,0.98203,0.73615,0.96027,0.49813,1.01126,0.004357,0.004357,0.004357
59,1491.15,0.87247,0.47417,0.97932,0.97927,0.96348,0.98311,0.74039,0.88382,0.47631,0.97981,0.004258,0.004258,0.004258
60,1513.4,0.85894,0.47547,0.97285,0.98753,0.96394,0.98672,0.75561,0.88987,0.45548,0.97819,0.004159,0.004159,0.004159
61,1537.39,0.8436,0.46547,0.96996,0.98657,0.9627,0.98787,0.7604,0.89028,0.44631,0.97398,0.00406,0.00406,0.00406
62,1561.91,0.87557,0.4661,0.99035,0.98009,0.96789,0.98572,0.75064,0.94413,0.44475,1.00165,0.003961,0.003961,0.003961
63,1585.22,0.90511,0.4711,0.98433,0.97782,0.96067,0.98201,0.73076,0.99739,0.48517,1.03909,0.003862,0.003862,0.003862
64,1611.2,0.85339,0.46453,0.97647,0.9854,0.96723,0.98895,0.74624,0.91921,0.47105,0.98631,0.003763,0.003763,0.003763
65,1635.03,0.84899,0.45805,0.96388,0.98572,0.96161,0.98705,0.74845,0.90533,0.45496,1.00156,0.003664,0.003664,0.003664
66,1664.73,0.83521,0.44848,0.97147,0.99426,0.96255,0.99054,0.77137,0.87434,0.42669,0.9674,0.003565,0.003565,0.003565
67,1691.38,0.8121,0.44311,0.96036,0.98219,0.9691,0.98868,0.76916,0.90301,0.4447,0.98343,0.003466,0.003466,0.003466
68,1721.65,0.82352,0.44691,0.95669,0.98531,0.96536,0.98424,0.74724,0.96097,0.46435,0.99732,0.003367,0.003367,0.003367
69,1747.34,0.87764,0.47257,0.98511,0.98805,0.96629,0.98943,0.75033,0.92261,0.43317,0.98163,0.003268,0.003268,0.003268
70,1769.74,0.81886,0.44317,0.96033,0.98026,0.96442,0.98216,0.75054,0.9618,0.46023,1.00439,0.003169,0.003169,0.003169
71,1791.35,0.7911,0.43622,0.95466,0.98851,0.96668,0.98817,0.75398,0.93583,0.44738,0.99158,0.00307,0.00307,0.00307
72,1815.01,0.84782,0.44523,0.95872,0.98661,0.96575,0.98113,0.74439,0.94341,0.44236,0.99013,0.002971,0.002971,0.002971
73,1838.01,0.82879,0.44982,0.95465,0.98515,0.97004,0.98877,0.772,0.88126,0.42594,0.97089,0.002872,0.002872,0.002872
74,1863.42,0.82724,0.4452,0.96551,0.98851,0.96667,0.98599,0.76473,0.90245,0.44756,0.98097,0.002773,0.002773,0.002773
75,1895.04,0.77206,0.42136,0.95024,0.98302,0.97549,0.99226,0.78337,0.84353,0.41767,0.95857,0.002674,0.002674,0.002674
76,1916.83,0.76275,0.41795,0.94637,0.98871,0.97004,0.99115,0.77748,0.85993,0.40828,0.96811,0.002575,0.002575,0.002575
77,1940.53,0.74675,0.41381,0.94875,0.98257,0.97097,0.99093,0.77571,0.86693,0.41507,0.97058,0.002476,0.002476,0.002476
78,1963.87,0.76773,0.41925,0.94877,0.98764,0.97285,0.9921,0.78578,0.84965,0.41896,0.96358,0.002377,0.002377,0.002377
79,1987.42,0.76641,0.41774,0.94465,0.99069,0.97004,0.99075,0.78464,0.83302,0.41646,0.95366,0.002278,0.002278,0.002278
80,2010.52,0.78218,0.42434,0.94979,0.99325,0.97191,0.9931,0.7943,0.81726,0.40715,0.94931,0.002179,0.002179,0.002179
81,2034.05,0.76179,0.41851,0.94232,0.98574,0.97066,0.99262,0.78398,0.835,0.4059,0.95674,0.00208,0.00208,0.00208
82,2055.87,0.74672,0.41829,0.93846,0.98586,0.96536,0.99077,0.78281,0.81832,0.40508,0.95461,0.001981,0.001981,0.001981
83,2078.33,0.7321,0.40407,0.93433,0.98574,0.97122,0.99212,0.79057,0.84226,0.4042,0.96224,0.001882,0.001882,0.001882
84,2100.59,0.74786,0.40597,0.94116,0.98881,0.96629,0.99244,0.78328,0.85839,0.41258,0.9669,0.001783,0.001783,0.001783
85,2123.25,0.74289,0.40426,0.94624,0.98639,0.97004,0.9911,0.78766,0.84927,0.40935,0.96428,0.001684,0.001684,0.001684
86,2151.28,0.72724,0.41143,0.93266,0.98388,0.97139,0.99196,0.79453,0.84539,0.39699,0.96202,0.001585,0.001585,0.001585
87,2174.64,0.73437,0.40365,0.93156,0.9886,0.974,0.99078,0.79412,0.86097,0.40784,0.9658,0.001486,0.001486,0.001486
88,2196.2,0.74993,0.41166,0.9295,0.98842,0.97191,0.99177,0.7945,0.84501,0.40491,0.96032,0.001387,0.001387,0.001387
89,2221.79,0.72053,0.40368,0.92639,0.99103,0.97285,0.99227,0.79399,0.84804,0.39616,0.96004,0.001288,0.001288,0.001288
90,2243.16,0.7168,0.39389,0.9267,0.99006,0.97659,0.99321,0.80178,0.83775,0.38667,0.95797,0.001189,0.001189,0.001189
91,2270.13,0.69516,0.38246,0.92378,0.99139,0.9705,0.99218,0.79189,0.84876,0.39586,0.95589,0.00109,0.00109,0.00109
92,2295.69,0.66177,0.36723,0.89899,0.98478,0.96932,0.99006,0.78851,0.83049,0.41558,0.95727,0.000991,0.000991,0.000991
93,2321.76,0.6559,0.3604,0.901,0.98745,0.9691,0.99215,0.78368,0.84408,0.41122,0.95972,0.000892,0.000892,0.000892
94,2347.81,0.66963,0.37208,0.91645,0.9797,0.97191,0.98649,0.78185,0.85282,0.41139,0.96144,0.000793,0.000793,0.000793
95,2372.56,0.62855,0.36374,0.90884,0.98615,0.97004,0.99146,0.79141,0.81254,0.39338,0.95222,0.000694,0.000694,0.000694
96,2398.06,0.66037,0.36318,0.91871,0.98625,0.9691,0.98802,0.78828,0.83758,0.398,0.95735,0.000595,0.000595,0.000595
97,2423.24,0.65369,0.35381,0.90487,0.98709,0.9691,0.98755,0.79442,0.81564,0.39303,0.95495,0.000496,0.000496,0.000496
98,2448.52,0.6223,0.35157,0.89479,0.98949,0.9697,0.98838,0.79912,0.81466,0.38599,0.9562,0.000397,0.000397,0.000397
99,2473.93,0.63982,0.35862,0.89251,0.98998,0.97004,0.98871,0.79852,0.8196,0.39368,0.95425,0.000298,0.000298,0.000298
100,2499.38,0.60477,0.34495,0.88913,0.99139,0.97072,0.99236,0.80362,0.80587,0.38586,0.95019,0.000199,0.000199,0.000199
